1,43324
2,41625
3,33721
4,24978
5,18680
6,14360
7,11142
8,8914
9,7496
10,6139
11,4995
12,4426
13,3739
14,3155
15,2983
17,2247
16,2545
19,1909
18,2074
21,1561
20,1708
23,1350
22,1454
25,1116
24,1203
27,1001
26,1085
29,868
28,961
31,770
30,801
34,642
35,610
32,803
33,698
38,580
39,471
36,582
37,558
42,443
43,408
40,452
41,381
46,344
47,385
44,395
45,459
51,376
50,334
49,350
48,395
55,303
54,286
53,321
52,337
59,277
58,247
57,246
56,275
63,283
62,245
61,244
60,285
68,208
69,187
70,204
71,170
64,231
65,212
66,272
67,277
76,136
77,203
78,272
79,214
72,195
73,163
74,197
75,163
85,164
84,144
87,135
86,141
81,168
80,159
83,195
82,192
93,106
92,126
95,136
94,118
89,140
88,185
91,147
90,110
102,125
103,105
100,157
101,98
98,136
99,158
96,192
97,155
110,97
111,117
108,92
109,79
106,104
107,83
104,101
105,88
119,81
118,74
117,106
116,82
115,94
114,108
113,84
112,108
127,61
126,64
125,68
124,87
123,64
122,77
121,91
120,90
137,51
136,75
139,60
138,54
141,42
140,56
143,50
142,51
129,74
128,52
131,60
130,65
133,70
132,65
135,67
134,57
152,41
153,40
154,46
155,47
156,34
157,30
158,39
159,41
144,44
145,46
146,47
147,66
148,45
149,42
150,38
151,34
171,28
170,38
169,24
168,37
175,22
174,35
173,29
172,33
163,30
162,35
161,44
160,41
167,35
166,22
165,25
164,39
186,25
187,20
184,21
185,27
190,12
191,22
188,28
189,20
178,27
179,24
176,17
177,25
182,26
183,24
180,30
181,24
205,17
204,18
207,21
206,24
201,23
200,12
203,14
202,23
197,23
196,19
199,14
198,23
193,21
192,24
195,15
194,23
220,20
221,12
222,7
223,15
216,13
217,21
218,11
219,17
212,16
213,22
214,25
215,17
208,20
209,24
210,17
211,21
239,15
238,14
237,18
236,16
235,10
234,18
233,15
232,9
231,15
230,16
229,14
228,12
227,13
226,12
225,19
224,15
254,8
255,7
252,8
253,13
250,12
251,10
248,8
249,6
246,11
247,13
244,19
245,13
242,18
243,10
240,15
241,12
275,12
274,12
273,6
272,8
279,12
278,8
277,5
276,12
283,6
282,7
281,9
280,11
287,5
286,3
285,5
284,7
258,11
259,15
256,9
257,10
262,8
263,7
260,7
261,4
266,8
267,7
264,11
265,9
270,17
271,12
268,7
269,13
305,2
304,6
307,4
306,5
309,8
308,5
311,5
310,4
313,5
312,4
315,5
314,4
317,5
319,4
318,4
288,5
289,6
290,9
291,7
292,5
293,11
294,6
295,10
296,7
297,4
298,7
299,10
300,5
301,7
302,7
303,9
343,4
342,7
341,4
340,5
339,3
338,6
337,6
336,3
351,4
350,3
349,3
348,3
347,3
346,3
345,4
344,4
326,4
327,5
324,4
325,3
322,3
323,4
320,6
321,6
334,4
335,8
332,2
333,6
330,3
331,3
328,5
329,4
373,3
372,4
374,3
369,4
368,2
371,1
381,3
380,1
383,1
382,1
377,3
376,1
379,3
378,1
356,3
357,1
358,3
359,4
352,2
353,6
354,1
355,5
364,2
365,2
366,3
367,5
360,4
361,2
362,1
363,5
410,2
408,2
414,3
412,2
402,4
400,2
401,2
407,1
404,4
405,3
394,2
393,3
392,1
399,1
398,1
397,7
396,2
387,3
386,5
385,2
391,5
390,3
389,3
388,4
440,1
441,2
442,3
443,1
444,1
445,1
447,3
432,2
433,1
435,5
436,2
437,3
438,3
439,2
425,1
427,2
429,3
428,1
430,3
417,1
416,1
419,3
418,2
421,2
420,2
478,3
479,2
477,1
474,3
475,1
472,2
473,1
470,1
471,3
468,1
462,3
459,1
458,2
457,2
454,1
453,3
452,2
451,2
450,1
448,2
508,4
509,2
504,1
505,2
500,1
502,1
497,1
498,2
499,1
493,1
492,1
495,1
494,1
488,2
485,2
484,1
487,1
480,2
483,1
546,2
544,1
545,1
559,1
557,2
555,1
552,2
553,1
516,1
517,1
518,1
519,1
512,1
514,1
524,1
525,1
526,2
527,4
533,1
532,1
529,1
528,1
541,3
540,2
536,4
538,1
611,1
619,1
622,1
628,1
576,1
581,1
582,1
590,1
592,1
595,1
596,1
603,1
604,1
686,1
684,1
698,1
690,1
647,1
646,1
643,1
642,1
662,1
748,1
739,1
737,1
752,1
732,1
720,1
819,1
824,1
827,1
781,1
778,1
880,1
942,1
